TIPO;ORIGINAL
show;Breaking Bad
show;Slam Dunk
movie;The Godfather
movie;Star Wars: Episode V - The Empire Strikes Back
movie;Parasite
show;Dark
show;Breaking Bad
show;Attack on Titan
movie;Gladiator
movie;Shrek
movie;Casino Royale
show;Suits
show;Game of Thrones
show;Malcolm in the Middle
movie;Inception
movie;The Prestige
movie;The Dark Knight
show;Game of Thrones
show;Band of Brothers
show;Narcos
movie;Hacksaw Ridge
movie;The Best Offer
movie;Toy Story
show;Money Heist
show;The Walking Dead
show;Arrow
movie;Your Name.
movie;Train to Busan
movie;Shrek 2
show;Weightlifting Fairy Kim Bok-Joo
show;Itaewon Class
show;Descendants of the Sun
movie;Amélie
movie;The Grand Budapest Hotel
movie;Schindler's List
show;Gilmore Girls
show;Grey's Anatomy
show;The Queen's Gambit
movie;Scarface
movie;The Godfather: Part II
movie;Baby Driver
show;Better Call Saul
show;Avatar: The Last Airbender
show;Attack on Titan
movie;Soul
movie;Avengers: Infinity War
movie;Shazam!
show;Adventure Time
show;Infinity Train
show;WandaVision
movie;A Brilliant Young Mind
movie;Good Will Hunting
movie;Harry Potter and the Goblet of Fire
show;How I Met Your Mother
show;That '70s Show
show;Friends
movie;Fight Club
movie;Vanilla Sky
movie;Seven Psychopaths
show;How I Met Your Mother
show;Naruto: Shippûden
show;Attack on Titan
movie;Inglourious Basterds
movie;Fear and Loathing in Las Vegas
movie;Star Wars: Episode IV - A New Hope
show;The Big Bang Theory
show;Modern Family
show;Peaky Blinders
movie;Coraline
movie;The Polar Express
movie;Saw: The Final Chapter
show;Stranger Things
show;Grey's Anatomy
show;13 Reasons Why
movie;Howl's Moving Castle
movie;Mulan
movie;Avengers: Endgame
show;Jujutsu Kaisen
show;Fullmetal Alchemist: Brotherhood
show;House
movie;Pulp Fiction
movie;Once Upon a Time... In Hollywood
movie;Inglourious Basterds
show;Prison Break
show;Suits
show;Peaky Blinders
movie;Monty Python and the Holy Grail
movie;The Nice Guys
movie;Looper
show;Arrested Development
show;Mindhunter
show;The Grand Tour
movie;Your Name.
movie;The Butterfly Effect
movie;Shrek 2
show;Shigatsu wa kimi no uso
show;Sons of Anarchy
show;Sex Education
movie;Charlie St. Cloud
movie;The Invisible Guest
movie;Me Before You
show;Station 19
show;Grey's Anatomy
show;Prison Break
movie;Back to the Future
movie;Saw
movie;Bruce Almighty
show;The Queen's Gambit
show;Malcolm in the Middle
show;House
movie;Amores Perros
movie;Birdman or (The Unexpected Virtue of Ignorance)
movie;Biutiful
show;Breaking Bad
show;Prison Break
show;Black Mirror
movie;The Dark Knight
movie;The Intouchables
movie;The Platform
show;Lupin
show;Suits
show;Peaky Blinders
movie;The Fifth Element
movie;Solaris
movie;The Matrix
show;Sherlock
show;BoJack Horseman
show;Avatar: The Last Airbender
movie;The Handmaiden
movie;Howl's Moving Castle
movie;Shrek 2
show;Cells at Work!
show;Please Like Me
show;The Disastrous Life of Saiki K.
movie;Kingsman: The Secret Service
movie;Howl's Moving Castle
movie;Baby Driver
show;Avatar: The Last Airbender
show;Guardian: The Lonely and Great God
show;Tribes of Europa
movie;Doctor Strange
movie;Arrival
movie;Shrek 2
show;Sherlock
show;The Good Doctor
show;Atypical
movie;Closer
movie;500 Days of Summer
movie;Schindler's List
show;Friends
show;Breaking Bad
show;Vis a vis
movie;Wolves of Wall Street
movie;Extinction
movie;The Avengers
show;Lupin
show;Stranger Things
show;Money Heist
movie;Inception
movie;Avatar
movie;Transformers
show;Dark
show;Grey's Anatomy
show;The Simpsons
movie;Back to the Future Part III
movie;Wolf Children
movie;Blade Runner 2049
show;Avatar: The Last Airbender
show;BNA
show;Persona 4: The Animation
movie;Dead Poets Society
movie;Inception
movie;21
show;The Good Doctor
show;House
show;Cells at Work!
movie;The Lord of the Rings: The Return of the King
movie;Forrest Gump
movie;The Dark Knight
show;The Walking Dead
show;The Vampire Diaries
show;Gossip Girl
movie;Love, Rosie
movie;To the Bone
movie;The Plague Dogs
show;How I Met Your Mother
show;One Piece
show;Agent Carter
movie;Star Wars: Episode V - The Empire Strikes Back
movie;Django Unchained
movie;Whiplash
show;The Office
show;Breaking Bad
show;Game of Thrones
