USER;TIPO;CODE;ORIGINAL;SPAIN;LATAM
17;movie;0454921;The Pursuit of Happyness;En busca de la felicidad (Spain);En busca de la felicidad (Argentina)
17;show;1910272;Steins;Gate;Steins;Gate (Spain);ND
17;show;1632701;Suits;Suits (Spain);La ley de los audaces (Argentina)
17;show;0112159;Neon Genesis Evangelion;Neo genesis evangelión (Spain) (alternative title);Neon Genesis Evangelion (Chile)
18;movie;0816692;Interstellar;Interstellar (Spain);Interestelar (Chile)
18;movie;4154756;Avengers: Infinity War;Vengadores: La guerra del infinito - 1ª parte (Spain) (alternative title);Avengers: Infinity War (Chile)
18;movie;0289879;The Butterfly Effect;El efecto mariposa (Spain);El efecto mariposa (Argentina)
18;show;0903747;Breaking Bad;Breaking Bad (Spain);ND
18;show;0460649;How I Met Your Mother;Cómo conocí a vuestra madre (Spain);ND
18;show;0944947;Game of Thrones;Juego de tronos (Spain);Game of Thrones (Chile)
19;movie;0088763;Back to the Future;Retorn al futur (Spain) (Catalan title);Volver al futuro (Chile)
19;movie;0133093;The Matrix;Matrix (Spain);Matrix (Argentina)
19;movie;6751668;Parasite;Parásitos (Spain);Parasite (Chile) (Spanish title)
19;show;0412142;House;House (Spain);Dr. House (Chile)
19;show;1355642;Fullmetal Alchemist: Brotherhood;Fullmetal Alchemist: Brotherhood (Spain);ND
19;show;7366338;Chernobyl;Chernobyl (Spain);Chernobyl (Argentina)
20;movie;0325980;Pirates of the Caribbean: The Curse of the Black Pearl;Piratas del Caribe: La maldición de la Perla Negra (Spain);La maldición del Perla Negra (Argentina)
20;movie;1201607;Harry Potter and the Deathly Hallows: Part 2;Harry Potter y las Reliquias de la Muerte - Parte 2 (Spain);Harry Potter y las Reliquias de la Muerte: Parte 2 (Chile)
20;movie;0316654;Spider-Man 2;Spider-Man 2 (Spain);El hombre araña 2 (Argentina)
20;show;0903747;Breaking Bad;Breaking Bad (Spain);ND
20;show;0388629;One Piece;One Piece (Spain) (Gallegan title);One Piece (Chile)
20;show;0988824;Naruto: Shippûden;Naruto: Shippûden (Spain);Naruto Shippuden (Chile)
21;movie;4154796;Avengers: Endgame;Vengadores: Endgame (Spain);Avengers: Endgame (Chile)
21;movie;0107290;Jurassic Park;Parc Juràssic (Spain) (Catalan title);Jurassic Park (Argentina)
21;movie;1392170;The Hunger Games;Los juegos del hambre (Spain);Los juegos del hambre (Chile)
21;show;2661044;The 100;Los 100 (Spain);ND
21;show;0413573;Grey's Anatomy;Anatomía de Grey (Spain);Grey's Anatomy (Argentina)
21;show;7134908;Elite;Élite (Spain);ND
22;movie;1130884;Shutter Island;Shutter Island (Spain);La isla siniestra (Argentina)
22;movie;2543472;Wonder;Wonder (Spain);Extraordinario (Chile)
22;movie;1457767;The Conjuring;Expediente Warren: The Conjuring (Spain);El conjuro (Chile)
22;show;6468322;Money Heist;La Casa de Papel: Parte 3 (Spain) (third season title);ND
22;show;3825328;Bajo sospecha;Sin pruebas (Spain) (working title);ND
22;show;9138156;The Pack;La jauría (Spain);La Jauría (Argentina)
23;movie;1683526;Detachment;El profesor (Detachment) (Spain);ND
23;movie;0335266;Lost in Translation;Lost in Translation (Spain);Perdidos en Tokio (Argentina)
23;movie;0085407;The Dead Zone;La zona muerta (Spain);La zona muerta (Argentina)
23;show;0773262;Dexter;Dexter (Spain);Dexter (Argentina)
23;show;0212671;Malcolm in the Middle;Malcolm (Spain);Malcolm (Argentina)
23;show;0386676;The Office;The Office (Spain);The Office (Argentina)
24;movie;0414387;Pride & Prejudice;Pride & Prejudice (Orgullo y prejuicio) (Spain);Orgullo y prejuicio (Argentina)
24;movie;8613070;Portrait of a Lady on Fire;Retrato de una mujer en llamas (Spain);Retrato de una chica en llamas (Argentina)
24;movie;4154664;Captain Marvel;Capitana Marvel (Spain);Capitana Marvel (Chile)
24;show;8772296;Euphoria;Euphoria (Spain);ND
24;show;0417299;Avatar: The Last Airbender;Avatar: el último maestro aire (Spain) (alternative spelling);ND
24;show;7745956;She-Ra and the Princesses of Power;She-Ra y las princesas del poder (Spain);She-Ra y las princesas del poder (Argentina)
25;movie;1375666;Inception;Origen (Spain);El origen (Chile)
25;movie;3104988;Crazy Rich Asians;Crazy Rich Asians (Spain);Locamente Millonarios (Chile)
25;movie;1707386;Les Misérables;Los miserables (Spain);Los miserables (Chile)
25;show;2741602;The Blacklist;The Blacklist (Spain);The Blacklist (Argentina)
25;show;0460627;Bones;Bones (Spain);ND
25;show;6468322;Money Heist;La Casa de Papel: Parte 3 (Spain) (third season title);ND
26;movie;0328880;Brother Bear;Hermano oso (Spain);Tierra de osos (Chile)
26;movie;7286456;Joker;Joker (Spain);Guasón (Chile)
26;movie;0109830;Forrest Gump;Forrest Gump (Spain);Forrest Gump (Argentina)
26;show;0235918;The Fairly OddParents;Los padrinos mágicos (Spain);Los padrinos mágicos (Chile)
26;show;5753856;Dark;Dark (Spain);Dark (Argentina)
26;show;0460649;How I Met Your Mother;Cómo conocí a vuestra madre (Spain);ND
27;movie;2543472;Wonder;Wonder (Spain);Extraordinario (Chile)
27;movie;4857264;The Invisible Guest;El invitado invisible (Spain) (working title);Contratiempo (Argentina)
27;movie;1564367;Just Go with It;Sígueme el rollo (Spain);Una esposa de mentira (Argentina)
27;show;2661044;The 100;Los 100 (Spain);ND
27;show;1632701;Suits;Suits (Spain);La ley de los audaces (Argentina)
27;show;8772296;Euphoria;Euphoria (Spain);ND
28;movie;0816692;Interstellar;Interstellar (Spain);Interestelar (Chile)
28;movie;1375666;Inception;Origen (Spain);El origen (Chile)
28;movie;3659388;The Martian;Marte (Spain);Misión Rescate (Chile)
28;show;0460649;How I Met Your Mother;Cómo conocí a vuestra madre (Spain);ND
28;show;0108778;Friends;Friends (Spain);Friends (Argentina)
28;show;2467372;Brooklyn Nine-Nine;Brooklyn Nine-Nine (Spain);ND
29;movie;0816692;Interstellar;Interstellar (Spain);Interestelar (Chile)
29;movie;1605630;American Reunion;American Pie: El reencuentro (Spain);American Pie: El reencuentro (Chile)
29;movie;1790864;The Maze Runner;El corredor del laberinto (Spain);Maze Runner: Correr o morir (Chile)
29;show;0108778;Friends;Friends (Spain);Friends (Argentina)
29;show;0460649;How I Met Your Mother;Cómo conocí a vuestra madre (Spain);ND
29;show;0898266;The Big Bang Theory;Big Bang (Spain);La teoría del Big Bang (Argentina)
30;movie;2802144;Kingsman: The Secret Service;Kingsman: Servicio secreto (Spain);Kingsman: El servicio secreto (Chile)
30;movie;6320628;Spider-Man: Far from Home;Spider-Man: Lejos de casa (Spain);Spider-Man: Lejos de Casa (Chile)
30;movie;2267968;Kung Fu Panda 3;Kung Fu Panda 3 (Spain);Kung Fu Panda 3 (Chile)
30;show;4052886;Lucifer;Lucifer (Spain);ND
30;show;0460649;How I Met Your Mother;Cómo conocí a vuestra madre (Spain);ND
30;show;0165598;That '70s Show;Aquellos maravillosos 70 (Spain);That '70s Show (Argentina)
31;movie;2381941;Focus;Focus (Spain);Focus: Maestros de la Estafa (Chile)
31;movie;0068646;The Godfather;El padrino (Spain);El padrino (Chile)
31;movie;0033467;Citizen Kane;Ciutadà Kane (Spain) (Catalan title);Ciudadano Kane (Chile)
31;show;0455275;Prison Break;Prison Break (Spain);Prison Break (Argentina)
31;show;0108778;Friends;Friends (Spain);Friends (Argentina)
31;show;2306299;Vikings;Vikingos (Spain);Vikingos (Argentina)
32;movie;1677720;Ready Player One;Ready Player One (Spain);Ready Player One: Comienza el Juego (Chile)
32;movie;5606664;Doctor Sleep;Doctor Sueño (Spain);Doctor Sueño (Chile)
32;movie;7286456;Joker;Joker (Spain);Guasón (Chile)
32;show;5753856;Dark;Dark (Spain);Dark (Argentina)
32;show;2372162;Orange Is the New Black;Orange Is the New Black (Spain);ND
32;show;2442560;Peaky Blinders;Peaky Blinders (Spain);Peaky Blinders (Argentina)
33;movie;1001526;Megamind;Megamind (Spain);Megamente (Argentina)
33;movie;8579674;1917;1917 (Spain);1917 (Chile) (Spanish title)
33;movie;2119532;Hacksaw Ridge;Hasta el último hombre (Spain);Hasta el último hombre (Chile)
33;show;2379308;Psycho-Pass;ND;ND
33;show;4158110;Mr. Robot;Mr. Robot (Spain);ND
33;show;1439629;Community;Community (Spain);Community (Argentina)
34;movie;8228288;The Platform;La plataforma (Spain) (working title);ND
34;movie;3901826;The Breadwinner;El pan de la guerra (Spain);ND
34;movie;4729430;Klaus;Klaus (Spain);Klaus (Argentina)
34;show;0386676;The Office;The Office (Spain);The Office (Argentina)
34;show;3398228;BoJack Horseman;BoJack Horseman (Spain);ND
34;show;2707408;Narcos;Narcos (Spain);ND
35;movie;4633694;Spider-Man: Into the Spider-Verse;Spider-Man: Un nuevo universo (Spain);Spider-Man: Un Nuevo Universo (Chile)
35;movie;2584384;Jojo Rabbit;Jojo Rabbit (Spain);Jojo Rabbit (Chile)
35;movie;0110912;Pulp Fiction;Pulp Fiction (Spain);Pulp Fiction: Tiempos violentos (Chile)
35;show;0460649;How I Met Your Mother;Cómo conocí a vuestra madre (Spain);ND
35;show;0412142;House;House (Spain);Dr. House (Chile)
35;show;4052886;Lucifer;Lucifer (Spain);ND
36;movie;2584384;Jojo Rabbit;Jojo Rabbit (Spain);Jojo Rabbit (Chile)
36;movie;1979320;Rush;Rush (Spain);Rush: pasión y gloria (Argentina)
36;movie;0093779;The Princess Bride;La princesa prometida (Spain);La princesa prometida (Argentina)
36;show;1190634;The Boys;The Boys (Spain);The Boys (Argentina)
36;show;1475582;Sherlock;Sherlock (Spain);ND
36;show;5712554;The Grand Tour;The Grand Tour (Spain);ND
37;movie;10515852;Steven Universe: The Movie;Steven Universe: La película (Spain);Steven Universe: La película (Chile)
37;movie;0398286;Tangled;Enredados (Spain);Enredados (Chile)
37;movie;1049413;Up;Up (Spain);Up - Una aventura de altura (Argentina)
37;show;4580372;Merlí;Merlí (Spain) (Catalan title);ND
37;show;3742982;Akame ga Kill!;ND;Agame ga Kill! (Argentina)
37;show;8788458;The Promised Neverland;The Promised Neverland (Spain);ND
38;movie;1649419;The Impossible;Lo imposible (Spain);Lo imposible (Argentina)
38;movie;6751668;Parasite;Parásitos (Spain);Parasite (Chile) (Spanish title)
38;movie;2380307;Coco;Coco (Spain);Coco (Chile)
38;show;7134908;Elite;Élite (Spain);ND
38;show;6468322;Money Heist;La Casa de Papel: Parte 3 (Spain) (third season title);ND
38;show;5753856;Dark;Dark (Spain);Dark (Argentina)
39;movie;3501632;Thor: Ragnarok;Thor: Ragnarok (Spain);Thor: Ragnarok (Chile)
39;movie;4154796;Avengers: Endgame;Vengadores: Endgame (Spain);Avengers: Endgame (Chile)
39;movie;0080684;Star Wars: Episode V - The Empire Strikes Back;Star Wars: Episodio V - El Imperio contraataca (Spain) (alternative title);El imperio contraataca (Chile)
39;show;4179452;The Last Kingdom;The Last Kingdom (Spain);The Last Kingdom (Argentina)
39;show;1632701;Suits;Suits (Spain);La ley de los audaces (Argentina)
39;show;0460649;How I Met Your Mother;Cómo conocí a vuestra madre (Spain);ND
40;movie;2428170;Creep;ND;ND
40;movie;3783958;La La Land;La ciudad de las estrellas (La La Land) (Spain);La La Land: Ciudad de Sueños (Chile)
40;movie;0087544;Nausicaä of the Valley of the Wind;Guerreros del viento (Spain) (cut version);Nausicaä del Valle del Viento (Chile)
40;show;0112159;Neon Genesis Evangelion;Neo genesis evangelión (Spain) (alternative title);Neon Genesis Evangelion (Chile)
40;show;0417299;Avatar: The Last Airbender;Avatar: el último maestro aire (Spain) (alternative spelling);ND
40;show;9561862;Love, Death & Robots;Love, Death & Robots (Spain);Love, Death & Robots (Argentina)
41;movie;1375666;Inception;Origen (Spain);El origen (Chile)
41;movie;0816692;Interstellar;Interstellar (Spain);Interestelar (Chile)
41;movie;0119217;Good Will Hunting;El indomable Will Hunting (Spain);En busca del destino (Argentina)
41;show;0903747;Breaking Bad;Breaking Bad (Spain);ND
41;show;0944947;Game of Thrones;Juego de tronos (Spain);Game of Thrones (Chile)
41;show;0455275;Prison Break;Prison Break (Spain);Prison Break (Argentina)
42;movie;0361748;Inglourious Basterds;Malditos bastardos (Spain);Bastardos sin gloria (Argentina)
42;movie;1375666;Inception;Origen (Spain);El origen (Chile)
42;movie;1130884;Shutter Island;Shutter Island (Spain);La isla siniestra (Argentina)
42;show;3032476;Better Call Saul;Better Call Saul (Spain);Better Call Saul (Argentina)
42;show;5753856;Dark;Dark (Spain);Dark (Argentina)
42;show;0944947;Game of Thrones;Juego de tronos (Spain);Game of Thrones (Chile)
43;movie;0332280;The Notebook;El diario de Noa (Spain);Diario de una pasión (Chile)
43;movie;2386490;How to Train Your Dragon: The Hidden World;Cómo entrenar a tu dragón 3 (Spain);Cómo entrenar a tu dragón 3 (Chile)
43;movie;4154756;Avengers: Infinity War;Vengadores: La guerra del infinito - 1ª parte (Spain) (alternative title);Avengers: Infinity War (Chile)
43;show;0944947;Game of Thrones;Juego de tronos (Spain);Game of Thrones (Chile)
43;show;2805096;Chicago P.D.;Chicago P.D. (Spain);ND
43;show;0413573;Grey's Anatomy;Anatomía de Grey (Spain);Grey's Anatomy (Argentina)
44;movie;2381941;Focus;Focus (Spain);Focus: Maestros de la Estafa (Chile)
44;movie;8350360;Annabelle Comes Home;Annabelle vuelve a casa (Spain);Annabelle 3: viene a casa (Chile)
44;movie;0816692;Interstellar;Interstellar (Spain);Interestelar (Chile)
44;show;2306299;Vikings;Vikingos (Spain);Vikingos (Argentina)
44;show;2442560;Peaky Blinders;Peaky Blinders (Spain);Peaky Blinders (Argentina)
44;show;2098220;Hunter x Hunter;Hunter x Hunter (Spain);ND
45;movie;3748528;Rogue One: A Star Wars Story;Rogue One: Una historia de Star Wars (Spain);Rogue One: Una historia de Star Wars (Chile)
45;movie;6751668;Parasite;Parásitos (Spain);Parasite (Chile) (Spanish title)
45;movie;2802144;Kingsman: The Secret Service;Kingsman: Servicio secreto (Spain);Kingsman: El servicio secreto (Chile)
45;show;10850932;Crash Landing on You;Crash Landing on You (Spain);Aterrizaje de emergencia en tu corazón (Argentina)
45;show;0903747;Breaking Bad;Breaking Bad (Spain);ND
45;show;8111088;The Mandalorian;The Mandalorian (Spain);ND
46;movie;0993846;The Wolf of Wall Street;El lobo de Wall Street (Spain);El lobo de Wall Street (Chile)
46;movie;1431045;Deadpool;Deadpool (Spain);Deadpool (Chile)
46;movie;5463162;Deadpool 2;Deadpool 2 (Spain);Deadpool 2 (Chile)
46;show;1355642;Fullmetal Alchemist: Brotherhood;Fullmetal Alchemist: Brotherhood (Spain);ND
46;show;0903747;Breaking Bad;Breaking Bad (Spain);ND
46;show;3398228;BoJack Horseman;BoJack Horseman (Spain);ND
47;movie;0109830;Forrest Gump;Forrest Gump (Spain);Forrest Gump (Argentina)
47;movie;0478087;21;21: Black Jack (Spain);21 Blackjack (Argentina)
47;movie;0268978;A Beautiful Mind;Una mente maravillosa (Spain);Una mente brillante (Argentina)
47;show;0397442;Gossip Girl;Gossip Girl (Spain);Gossip Girl: Chica Indiscreta (Argentina)
47;show;0840196;Skins;Skins (Spain);ND
47;show;8772296;Euphoria;Euphoria (Spain);ND
48;movie;3281548;Little Women;Mujercitas (Spain);Mujercitas (Chile)
48;movie;0087277;Footloose;Footloose (Spain);Footloose (Chile)
48;movie;3501632;Thor: Ragnarok;Thor: Ragnarok (Spain);Thor: Ragnarok (Chile)
48;show;0108778;Friends;Friends (Spain);Friends (Argentina)
48;show;0898266;The Big Bang Theory;Big Bang (Spain);La teoría del Big Bang (Argentina)
48;show;8543390;Modern Love;Modern Love (Spain);ND
49;movie;0109830;Forrest Gump;Forrest Gump (Spain);Forrest Gump (Argentina)
49;movie;1596343;Fast Five;Fast & Furious 5 (Spain);Rápidos y Furiosos: 5in control (Argentina)
49;movie;2379713;Spectre;Spectre (Spain);Spectre (Chile)
49;show;0096697;The Simpsons;Los Simpson (Spain);Los Simpson (Argentina)
49;show;0903747;Breaking Bad;Breaking Bad (Spain);ND
49;show;0898266;The Big Bang Theory;Big Bang (Spain);La teoría del Big Bang (Argentina)
50;movie;0118715;The Big Lebowski;El gran Lebowski (Spain);El gran Lebowski (Argentina)
50;movie;5013056;Dunkirk;Dunkerque (Spain);Dunkerque (Chile)
50;movie;0110912;Pulp Fiction;Pulp Fiction (Spain);Pulp Fiction: Tiempos violentos (Chile)
50;show;7366338;Chernobyl;Chernobyl (Spain);Chernobyl (Argentina)
50;show;3398228;BoJack Horseman;BoJack Horseman (Spain);ND
50;show;5180504;The Witcher;The Witcher (Spain);The Witcher (Argentina)
51;movie;1375666;Inception;Origen (Spain);El origen (Chile)
51;movie;1130884;Shutter Island;Shutter Island (Spain);La isla siniestra (Argentina)
51;movie;0120783;The Parent Trap;Tú a Londres y yo a California (Spain);Juego de gemelas (Argentina)
51;show;0455275;Prison Break;Prison Break (Spain);Prison Break (Argentina)
51;show;0397442;Gossip Girl;Gossip Girl (Spain);Gossip Girl: Chica Indiscreta (Argentina)
51;show;4524056;Vis a vis;Vis a vis (Spain);ND
52;movie;0816692;Interstellar;Interstellar (Spain);Interestelar (Chile)
52;movie;1049413;Up;Up (Spain);Up - Una aventura de altura (Argentina)
52;movie;0361748;Inglourious Basterds;Malditos bastardos (Spain);Bastardos sin gloria (Argentina)
52;show;6468322;Money Heist;La Casa de Papel: Parte 3 (Spain) (third season title);ND
52;show;0944947;Game of Thrones;Juego de tronos (Spain);Game of Thrones (Chile)
52;show;0903747;Breaking Bad;Breaking Bad (Spain);ND
53;movie;0114814;The Usual Suspects;Sospitosos habituals (Spain) (Catalan title);Los sospechosos de siempre (Argentina)
53;movie;0110912;Pulp Fiction;Pulp Fiction (Spain);Pulp Fiction: Tiempos violentos (Chile)
53;movie;0081505;The Shining;La resplendor (Spain) (Catalan title);El resplandor (Chile)
53;show;0903747;Breaking Bad;Breaking Bad (Spain);ND
53;show;0386676;The Office;The Office (Spain);The Office (Argentina)
53;show;0367279;Arrested Development;Arrested Development (Spain);Sacrificios De Familia (Chile) (dubbed version)
54;movie;0118799;Life Is Beautiful;La vida es bella (Spain);La vida es bella (Argentina)
54;movie;0058331;Mary Poppins;Mary Poppins (Spain);Mary Poppins (Argentina)
54;movie;0120363;Toy Story 2;Toy Story 2: Los juguetes vuelven a la carga (Spain) (alternative title);Toy Story 2 (Argentina)
54;show;0108778;Friends;Friends (Spain);Friends (Argentina)
54;show;4474344;Blindspot;Blindspot (Spain);ND
54;show;0413573;Grey's Anatomy;Anatomía de Grey (Spain);Grey's Anatomy (Argentina)
55;movie;1485796;The Greatest Showman;El gran showman (Spain);El Gran Showman (Chile)
55;movie;2543472;Wonder;Wonder (Spain);Extraordinario (Chile)
55;movie;2872518;The Shack;La cabaña (Spain);La Cabaña (Chile)
55;show;0413573;Grey's Anatomy;Anatomía de Grey (Spain);Grey's Anatomy (Argentina)
55;show;2234222;Orphan Black;Orphan Black (Spain);ND
55;show;1632701;Suits;Suits (Spain);La ley de los audaces (Argentina)
56;movie;0816692;Interstellar;Interstellar (Spain);Interestelar (Chile)
56;movie;4154796;Avengers: Endgame;Vengadores: Endgame (Spain);Avengers: Endgame (Chile)
56;movie;3659388;The Martian;Marte (Spain);Misión Rescate (Chile)
56;show;0108778;Friends;Friends (Spain);Friends (Argentina)
