USER;TIPO;CODE;ORIGINAL;SPAIN;LATAM
10;movie;0816692;Interstellar;Interstellar (Spain);Interestelar (Chile)
10;show;2306299;Vikings;Vikingos (Spain);Vikingos (Argentina)
10;show;1520211;The Walking Dead;The Walking Dead (Spain);ND
10;show;0131179;Detective Conan;Detective Conan (Spain);Detective Conan (Argentina)
11;movie;1596363;The Big Short;La gran apuesta (Spain);La gran apuesta (Chile)
11;movie;7349662;BlacKkKlansman;BlacKkKlansman (Spain) (alternative title);El infiltrado del KKKlan (Chile)
11;movie;1302006;The Irishman;El irlandés (Spain);The Irishman (Chile)
11;show;2861424;Rick and Morty;Rick y Morty (Spain);Rick y Morty (Argentina)
11;show;0903747;Breaking Bad;Breaking Bad (Spain);ND
11;show;2306299;Vikings;Vikingos (Spain);Vikingos (Argentina)
12;movie;0075314;Taxi Driver;Taxi Driver (Spain);Taxi Driver (Chile)
12;movie;0068646;The Godfather;El padrino (Spain);El padrino (Chile)
12;movie;0081398;Raging Bull;Toro salvatge (Spain) (Catalan title);Toro Salvaje (Chile)
12;show;0185906;Band of Brothers;Hermanos de sangre (Spain);Band of Brothers (Argentina)
12;show;0374463;The Pacific;The Pacific (Spain);ND
12;show;0903747;Breaking Bad;Breaking Bad (Spain);ND
13;movie;0816692;Interstellar;Interstellar (Spain);Interestelar (Chile)
13;movie;0133093;The Matrix;Matrix (Spain);Matrix (Argentina)
13;movie;0910970;WALL·E;WALL·E (Spain);WALL·E (Argentina)
13;show;2395695;Cosmos: A Spacetime Odyssey;Cosmos: Una odisea en el espacio-tiempo (Spain);ND
13;show;2861424;Rick and Morty;Rick y Morty (Spain);Rick y Morty (Argentina)
13;show;0112159;Neon Genesis Evangelion;Neo genesis evangelión (Spain) (alternative title);Neon Genesis Evangelion (Chile)
14;movie;0923811;Evangelion: 1.0 You Are (Not) Alone;Evangelion 1.01 You are (not) Alone (Spain);ND
14;movie;0129167;The Iron Giant;El gigante de hierro (Spain);El gigante de hierro (Argentina)
14;movie;0094625;Akira;Akira (Spain);Akira (Chile)
14;show;3398540;Haikyuu!!;Haikyu!! (Los ases del vóley) (Spain);ND
14;show;6074794;March Comes in Like a Lion;El León de Marzo (Spain) (alternative title);ND
14;show;5679720;Bungou Stray Dogs;ND;ND
15;movie;0068646;The Godfather;El padrino (Spain);El padrino (Chile)
15;movie;0120586;American History X;American History X (Spain);América X (Chile)
15;movie;0317248;City of God;Ciudad de Dios (Spain);Ciudad de Dios (Argentina)
15;show;4580372;Merlí;Merlí (Spain) (Catalan title);ND
15;show;2442560;Peaky Blinders;Peaky Blinders (Spain);Peaky Blinders (Argentina)
15;show;2488050;El Reemplazante;ND;ND
16;movie;0068646;The Godfather;El padrino (Spain);El padrino (Chile)
16;movie;0311113;Master and Commander: The Far Side of the World;Master and Commander: Al otro lado del mundo (Spain);Capitán de mar y guerra: La costa más lejana del mundo (Chile)
16;movie;0381849;3:10 to Yuma;El tren de las 3:10 (Spain);El tren de las 3:10 a Yuma (Argentina)
16;show;7366338;Chernobyl;Chernobyl (Spain);ND
16;show;1632701;Suits;Suits (Spain);La ley de los audaces (Argentina)
16;show;0229888;El Chapulín Colorado;El Chapulín Colorado (Spain);ND
17;movie;2802144;Kingsman: The Secret Service;Kingsman: Servicio secreto (Spain);Kingsman: El servicio secreto (Chile)
17;movie;0361862;The Machinist;El maquinista (Spain);El maquinista (Argentina)
17;movie;1010048;Slumdog Millionaire;Slumdog Millionaire (Spain);Slumdog millionaire - ¿Quién quiere ser millonario? (Argentina)
17;show;0433722;Paranoia Agent;Paranoia agent (Spain);ND
17;show;0851578;Paprika;Paprika (Spain);Paprika: El reino de los sueños (Argentina)
17;show;3032476;Better Call Saul;Better Call Saul (Spain);Better Call Saul (Argentina)
18;movie;1637688;In Time;In Time (Spain);El precio del mañana (Chile)
18;movie;0412080;The World's Fastest Indian;Burt Munro. Un sueño, una leyenda (Spain);Sueños de gloria (Argentina)
18;movie;2119532;Hacksaw Ridge;Hasta el último hombre (Spain);Hasta el último hombre (Chile)
18;show;1740299;The Man in the High Castle;El hombre en el castillo (Spain);ND
18;show;2661044;The 100;Los 100 (Spain);ND
18;show;7366338;Chernobyl;Chernobyl (Spain);ND
19;movie;3230668;Perdona si te llamo amor;Perdona si te llamo amor (Spain);ND
19;movie;0100405;Pretty Woman;Pretty Woman (Spain);Mujer bonita (Chile)
19;movie;0243155;Bridget Jones's Diary;El diario de Bridget Jones (Spain);El Diario de Bridget Jones (Chile)
19;show;0108778;Friends;Friends (Spain);Friends (Argentina)
19;show;0898266;The Big Bang Theory;Big Bang (Spain);La teoría del Big Bang (Argentina)
19;show;3566726;Jane the Virgin;Jane the Virgin (Spain);ND
20;movie;5001718;Everything, Everything;El amor lo es todo, todo (Spain);Todo, todo (Chile)
20;movie;6105098;The Lion King;El rey león (Spain);El rey león (Chile)
20;movie;0363771;The Chronicles of Narnia: The Lion, the Witch and the Wardrobe;Las crónicas de Narnia: El león, la bruja y el armario (Spain);Las crónicas de Narnia - El león, la bruja y el ropero (Argentina)
20;show;0108778;Friends;Friends (Spain);Friends (Argentina)
20;show;0413573;Grey's Anatomy;Anatomía de Grey (Spain);Grey's Anatomy (Argentina)
20;show;1520211;The Walking Dead;The Walking Dead (Spain);ND
21;movie;0816692;Interstellar;Interstellar (Spain);Interestelar (Chile)
21;movie;1375666;Inception;Origen (Spain);El origen (Chile)
21;movie;4154796;Avengers: Endgame;Vengadores: Endgame (Spain);Avengers: Endgame (Chile)
21;show;2861424;Rick and Morty;Rick y Morty (Spain);Rick y Morty (Argentina)
21;show;0903747;Breaking Bad;Breaking Bad (Spain);ND
21;show;5290382;Mindhunter;Mindhunter (Spain);Mindhunter (Argentina)
22;movie;8173728;The Wolf House;La Casa Lobo (Spain);La Casa Lobo (Chile)
22;movie;8228288;The Platform;La plataforma (Spain) (working title);ND
22;movie;0275847;Lilo & Stitch;Lilo & Stitch (Spain);Lilo y Stitch (Argentina)
22;show;3390684;How Your Mother Met Me;ND;ND
22;show;6468322;Money Heist;La Casa de Papel: Parte 3 (Spain) (third season title);ND
22;show;8019444;Aggretsuko;Aggretsuko (Spain);Aggretsuko (Argentina)
23;movie;1753383;A Dog's Purpose;Tu mejor amigo (Spain);La Razón de Estar Contigo (Chile)
23;movie;0109830;Forrest Gump;Forrest Gump (Spain);Forrest Gump (Argentina)
23;movie;3783958;La La Land;La ciudad de las estrellas (La La Land) (Spain);La La Land: Ciudad de Sueños (Chile)
23;show;5290382;Mindhunter;Mindhunter (Spain);Mindhunter (Argentina)
23;show;7349602;The Confession Tapes;The Confession Tapes (Spain);The Confession Tapes (Argentina)
23;show;2085059;Black Mirror;Black Mirror (Spain);ND
24;movie;4154796;Avengers: Endgame;Vengadores: Endgame (Spain);Avengers: Endgame (Chile)
24;movie;7286456;Joker;Joker (Spain);Guasón (Chile)
24;movie;0441773;Kung Fu Panda;Kung Fu Panda (Spain);Kung Fu Panda (Argentina)
24;show;2098220;Hunter x Hunter;Hunter x Hunter (Spain);ND
24;show;4508902;One Punch Man;One Punch Man (Spain);ND
24;show;2560140;Attack on Titan;Ataque a los titanes (Spain);ND
25;movie;0482571;The Prestige;El truco final (El prestigio) (Spain);El gran truco (Argentina)
25;movie;2543164;Arrival;La llegada (Spain);La Llegada (Chile)
25;movie;7286456;Joker;Joker (Spain);Guasón (Chile)
25;show;2467372;Brooklyn Nine-Nine;Brooklyn Nine-Nine (Spain);ND
25;show;0944947;Game of Thrones;Juego de tronos (Spain);Game of Thrones (Chile)
25;show;2861424;Rick and Morty;Rick y Morty (Spain);Rick y Morty (Argentina)
26;movie;0167260;The Lord of the Rings: The Return of the King;El señor de los anillos: El retorno del rey (Spain);El señor de los anillos: El retorno del rey (Argentina)
26;movie;0816692;Interstellar;Interstellar (Spain);Interestelar (Chile)
26;movie;0060196;The Good, the Bad and the Ugly;El bo, el lleig i el dolent (Spain) (Catalan title);El bueno, el malo y el feo (Chile)
26;show;0944947;Game of Thrones;Juego de tronos (Spain);Game of Thrones (Chile)
26;show;0475784;Westworld;Westworld (Spain);ND
26;show;0106179;The X-Files;Expediente X (Spain);Los Archivos Secretos X (Chile) (alternative title)
27;movie;0816692;Interstellar;Interstellar (Spain);Interestelar (Chile)
27;movie;2562232;Birdman or (The Unexpected Virtue of Ignorance);Birdman o (La inesperada virtud de la ignorancia) (Spain);Birdman o (La Inesperada Virtud de la Ignorancia) (Chile)
27;movie;1120985;Blue Valentine;Blue Valentine (Spain);Blue Valentine - Una historia de amor (Argentina)
27;show;0903747;Breaking Bad;Breaking Bad (Spain);ND
27;show;2707408;Narcos;Narcos (Spain);ND
27;show;1266020;Parks and Recreation;Parks and Recreation (Spain);ND
28;movie;0110912;Pulp Fiction;Pulp Fiction (Spain);Pulp Fiction: Tiempos violentos (Chile)
28;movie;0364569;Oldboy;Old Boy (Spain);Old Boy (Chile)
28;movie;1305806;The Secret in Their Eyes;El secreto de sus ojos (Spain);ND
28;show;0903747;Breaking Bad;Breaking Bad (Spain);ND
28;show;2467372;Brooklyn Nine-Nine;Brooklyn Nine-Nine (Spain);ND
28;show;0460649;How I Met Your Mother;Cómo conocí a vuestra madre (Spain);ND
29;movie;0120689;The Green Mile;La milla verde (Spain);Milagros inesperados (Argentina)
29;movie;1063669;The Wave;La ola (Spain);La ola (Argentina)
29;movie;0118715;The Big Lebowski;El gran Lebowski (Spain);El gran Lebowski (Argentina)
29;show;0112159;Neon Genesis Evangelion;Neo genesis evangelión (Spain) (alternative title);Neon Genesis Evangelion (Chile)
29;show;8111088;The Mandalorian;The Mandalorian (Spain);ND
29;show;0948103;Tengen toppa gurren lagann;ND;ND
30;movie;0111161;The Shawshank Redemption;Cadena perpetua (Spain);Sueños de Libertad (Chile)
30;movie;0198781;Monsters, Inc.;Monstruos, S.A. (Spain);Monsters, Inc. (Argentina)
30;movie;1431045;Deadpool;Deadpool (Spain);Deadpool (Chile)
30;show;0386676;The Office;The Office (Spain);The Office (Argentina)
30;show;2861424;Rick and Morty;Rick y Morty (Spain);Rick y Morty (Argentina)
30;show;2467372;Brooklyn Nine-Nine;Brooklyn Nine-Nine (Spain);ND
31;movie;0055614;West Side Story;West Side Story (Amor sin barreras) (Spain) (complete title);Amor sin barreras (Argentina)
31;movie;3170832;Room;La habitación (Spain);La habitación (Chile)
31;movie;3783958;La La Land;La ciudad de las estrellas (La La Land) (Spain);La La Land: Ciudad de Sueños (Chile)
31;show;0413573;Grey's Anatomy;Anatomía de Grey (Spain);Grey's Anatomy (Argentina)
31;show;4574334;Stranger Things;Stranger Things (Spain);Stranger Things (Argentina)
31;show;6763664;The Haunting of Hill House;La maldición de Hill House (Spain);ND
32;movie;1446192;Rise of the Guardians;El origen de los guardianes (Spain);El origen de los guardianes (Chile)
32;movie;1772341;Wreck-It Ralph;¡Rompe Ralph! (Spain);Ralph, el demoledor (Chile)
32;movie;4154756;Avengers: Infinity War;Vengadores: La guerra del infinito - 1ª parte (Spain) (alternative title);Avengers: Infinity War (Chile)
32;show;9529546;The Rising of the Shield Hero;ND;ND
32;show;3061046;Steven Universe;Steven Universe (Spain);ND
32;show;9679542;Dr. Stone;ND;ND
33;movie;0816692;Interstellar;Interstellar (Spain);Interestelar (Chile)
33;movie;8536926;Efecto Mariposa;ND;ND
33;movie;8579674;1917;1917 (Spain);1917 (Chile)
33;show;2442560;Peaky Blinders;Peaky Blinders (Spain);Peaky Blinders (Argentina)
33;show;1475582;Sherlock;Sherlock (Spain);ND
33;show;2861424;Rick and Morty;Rick y Morty (Spain);Rick y Morty (Argentina)
34;movie;6751668;Parasite;Parásitos (Spain);Parasite (Chile)
34;movie;2562232;Birdman or (The Unexpected Virtue of Ignorance);Birdman o (La inesperada virtud de la ignorancia) (Spain);Birdman o (La Inesperada Virtud de la Ignorancia) (Chile)
34;movie;1843866;Captain America: The Winter Soldier;Capitán América: El Soldado de Invierno (Spain);Capitán América y el Soldado del Invierno (Chile)
34;show;6877772;American Vandal;American Vandal (Spain);ND
34;show;0386676;The Office;The Office (Spain);The Office (Argentina)
34;show;0417299;Avatar: The Last Airbender;Avatar: el último maestro aire (Spain) (alternative spelling);ND
35;movie;0126029;Shrek;Shrek (Spain);Shrek (Argentina)
35;movie;0298148;Shrek 2;Shrek 2 (Spain);Shrek 2 (Argentina)
35;movie;2788710;The Interview;The Interview (Spain);Una loca entrevista (Argentina)
35;show;2560140;Attack on Titan;Ataque a los titanes (Spain);ND
35;show;5626028;My Hero Academia;My Hero Academia (Spain);ND
35;show;9335498;Demon Slayer: Kimetsu No Yaiba;ND;ND
36;movie;0829482;Superbad;Supersalidos (Spain);Super cool (Argentina)
36;movie;1645170;The Dictator;El dictador (Spain);El dictador (Chile)
36;movie;2263944;Dragon Ball Z: Battle of Gods;Dragon Ball Z: La batalla de los dioses (Spain);Dragon Ball Z: La batalla de los dioses (Chile)
36;show;0758745;Friday Night Lights;Friday Night Lights (Spain);ND
36;show;4998212;The Ranch;The Ranch (Spain);El Rancho (Argentina)
36;show;4644488;Dragon Ball Super;Dragon Ball Super (Spain);ND
37;movie;0816692;Interstellar;Interstellar (Spain);Interestelar (Chile)
37;movie;0414387;Pride & Prejudice;Pride & Prejudice (Orgullo y prejuicio) (Spain);Orgullo y prejuicio (Argentina)
37;movie;0330373;Harry Potter and the Goblet of Fire;Harry Potter y el cáliz de fuego (Spain);Harry Potter y el cáliz de fuego (Argentina)
37;show;0108778;Friends;Friends (Spain);Friends (Argentina)
37;show;2006421;Gran Hotel;Gran Hotel (Spain);ND
37;show;0238784;Gilmore Girls;Las chicas Gilmore (Spain);Gilmore Girls (Argentina)
38;movie;0816692;Interstellar;Interstellar (Spain);Interestelar (Chile)
38;movie;2084970;The Imitation Game;The Imitation Game (Descifrando Enigma) (Spain);El código enigma (Chile)
38;movie;0109830;Forrest Gump;Forrest Gump (Spain);Forrest Gump (Argentina)
38;show;0903747;Breaking Bad;Breaking Bad (Spain);ND
38;show;2442560;Peaky Blinders;Peaky Blinders (Spain);Peaky Blinders (Argentina)
38;show;6468322;Money Heist;La Casa de Papel: Parte 3 (Spain) (third season title);ND
39;movie;0499549;Avatar;Avatar (Spain);Avatar (Argentina)
39;movie;8579674;1917;1917 (Spain);1917 (Chile)
39;movie;3501632;Thor: Ragnarok;Thor: Ragnarok (Spain);Thor: Ragnarok (Chile)
39;show;2442560;Peaky Blinders;Peaky Blinders (Spain);Peaky Blinders (Argentina)
39;show;5421602;Anne with an E;Anne with an E (Spain);Anne with an E (Argentina)
39;show;2306299;Vikings;Vikingos (Spain);Vikingos (Argentina)
40;movie;0816692;Interstellar;Interstellar (Spain);Interestelar (Chile)
40;movie;5442430;Life;Life (Vida) (Spain);Life: Vida Inteligente (Chile)
40;movie;1392190;Mad Max: Fury Road;Mad Max: Furia en la carretera (Spain);Mad Max: Furia en el Camino (Chile)
40;show;2085059;Black Mirror;Black Mirror (Spain);ND
40;show;3398228;BoJack Horseman;BoJack Horseman (Spain);ND
40;show;5232792;Lost in Space;Lost in Space (Spain);Perdidos en el espacio (Argentina)
41;movie;0816692;Interstellar;Interstellar (Spain);Interestelar (Chile)
41;movie;2278388;The Grand Budapest Hotel;El gran hotel Budapest (Spain);El gran hotel Budapest (Chile)
41;movie;1375666;Inception;Origen (Spain);El origen (Chile)
41;show;0436992;Doctor Who;Doctor Who (Spain);Doctor Who (Argentina)
41;show;1475582;Sherlock;Sherlock (Spain);ND
41;show;2085059;Black Mirror;Black Mirror (Spain);ND
42;movie;0120737;The Lord of the Rings: The Fellowship of the Ring;El señor de los anillos: La comunidad del anillo (Spain);El señor de los anillos: La comunidad del anillo (Chile)
42;movie;0114746;12 Monkeys;Doce monos (Spain);12 monos (Argentina)
42;movie;4263482;The Witch;La bruja: Una leyenda de Nueva Inglaterra (Spain);La Bruja (Chile)
42;show;6468322;Money Heist;La Casa de Papel: Parte 3 (Spain) (third season title);ND
42;show;0108778;Friends;Friends (Spain);Friends (Argentina)
42;show;0944947;Game of Thrones;Juego de tronos (Spain);Game of Thrones (Chile)
43;movie;4385888;20th Century Women;Mujeres del siglo XX (Spain);ND
43;movie;3890160;Baby Driver;Baby Driver (Spain);Baby: El aprendiz del crimen (Chile)
43;movie;0347149;Howl's Moving Castle;El castillo ambulante (Spain);El castillo ambulante (Chile)
43;show;11043632;Beastars;Beastars (Spain);Beastars (Argentina)
43;show;5180504;The Witcher;The Witcher (Spain);The Witcher (Argentina)
43;show;8111088;The Mandalorian;The Mandalorian (Spain);ND
44;movie;0109830;Forrest Gump;Forrest Gump (Spain);Forrest Gump (Argentina)
44;movie;4154796;Avengers: Endgame;Vengadores: Endgame (Spain);Avengers: Endgame (Chile)
44;movie;6751668;Parasite;Parásitos (Spain);Parasite (Chile)
44;show;2306299;Vikings;Vikingos (Spain);Vikingos (Argentina)
44;show;2861424;Rick and Morty;Rick y Morty (Spain);Rick y Morty (Argentina)
44;show;2356777;True Detective;True Detective (Spain);ND
45;movie;0083658;Blade Runner;Blade Runner (Spain);Blade Runner (Chile)
45;movie;0083791;The Dark Crystal;Cristal Oscuro (Spain);El cristal encantado (Argentina)
45;movie;5580390;The Shape of Water;La forma del agua (Spain);La forma del agua (Chile)
45;show;0386676;The Office;The Office (Spain);The Office (Argentina)
45;show;1305826;Adventure Time;Hora de aventuras (Spain);Hora de Aventura (Chile)
45;show;2085059;Black Mirror;Black Mirror (Spain);ND
46;movie;2980516;The Theory of Everything;La teoría del todo (Spain);La teoría del todo (Chile)
46;movie;2084970;The Imitation Game;The Imitation Game (Descifrando Enigma) (Spain);El código enigma (Chile)
46;movie;5311514;Your Name.;Your Name. (Spain);Your Name. (Chile)
46;show;3322312;Daredevil;Daredevil (Spain);Daredevil (Argentina)
46;show;0412142;House;House (Spain);Dr. House (Chile)
46;show;2191671;Elementary;Elementary (Spain);ND
47;movie;6751668;Parasite;Parásitos (Spain);Parasite (Chile)
47;movie;7286456;Joker;Joker (Spain);Guasón (Chile)
47;movie;0478087;21;21: Black Jack (Spain);21 Blackjack (Argentina)
47;show;6468322;Money Heist;La Casa de Papel: Parte 3 (Spain) (third season title);ND
47;show;2467372;Brooklyn Nine-Nine;Brooklyn Nine-Nine (Spain);ND
47;show;0108778;Friends;Friends (Spain);Friends (Argentina)
48;movie;6966692;Green Book;Green Book (Spain);Green Book: Una amistad sin fronteras (Chile)
48;movie;6966692;Green Book;Green Book (Spain);Green Book: Una amistad sin fronteras (Chile)
48;movie;0172495;Gladiator;Gladiator (El gladiador) (Spain);Gladiador (Chile)
48;show;5753856;Dark;Dark (Spain);Dark (Argentina)
48;show;4270492;Billions;Billions (Spain);Billions (Argentina)
48;show;5071412;Ozark;Ozark (Spain);Ozark (Argentina)
49;movie;7455754;The Game Changers;ND;ND
49;movie;1375666;Inception;Origen (Spain);El origen (Chile)
49;movie;1431045;Deadpool;Deadpool (Spain);Deadpool (Chile)
49;show;0903747;Breaking Bad;Breaking Bad (Spain);ND
49;show;8289930;Formula 1: Drive to Survive;Fórmula 1: La emoción de un Grand Prix (Spain);Formula 1: Drive to Survive (Argentina)
49;show;5820976;El marginal;El marginal (Spain);ND
50;movie;1068649;I've Loved You So Long;Hace tanto que te quiero (Spain);Hace mucho tiempo que te quiero (Argentina)
50;movie;0478087;21;21: Black Jack (Spain);21 Blackjack (Argentina)
50;movie;0498381;Rings;Rings (Spain);El Aro 3 (Chile)
50;show;5290382;Mindhunter;Mindhunter (Spain);Mindhunter (Argentina)
50;show;1632701;Suits;Suits (Spain);La ley de los audaces (Argentina)
50;show;2802850;Fargo;Fargo (Spain);ND
51;movie;1375666;Inception;Origen (Spain);El origen (Chile)
51;movie;0816692;Interstellar;Interstellar (Spain);Interestelar (Chile)
51;movie;0289765;Red Dragon;El dragón rojo (Spain);Dragón rojo (Argentina)
51;show;0108778;Friends;Friends (Spain);Friends (Argentina)
51;show;2861424;Rick and Morty;Rick y Morty (Spain);Rick y Morty (Argentina)
51;show;6468322;Money Heist;La Casa de Papel: Parte 3 (Spain) (third season title);ND
52;movie;2980516;The Theory of Everything;La teoría del todo (Spain);La teoría del todo (Chile)
52;movie;0418279;Transformers;Transformers (Spain);Transformers (Argentina)
53;movie;2584384;Jojo Rabbit;Jojo Rabbit (Spain);Jojo Rabbit (Chile)
53;movie;0462538;The Simpsons Movie;Los Simpson: La película (Spain);Los Simpson - La película (Chile)
53;movie;2980516;The Theory of Everything;La teoría del todo (Spain);La teoría del todo (Chile)
53;show;11170862;Cosmos: Possible Worlds;Cosmos: otros mundos (Spain);ND
53;show;1196946;The Mentalist;El mentalista (Spain);El mentalista (Argentina)
53;show;0214341;Dragon Ball Z;As bólas máxicas (Spain) (Gallegan title);Dragon Ball Z (Argentina)
54;movie;4154796;Avengers: Endgame;Vengadores: Endgame (Spain);Avengers: Endgame (Chile)
54;movie;0120915;Star Wars: Episode I - The Phantom Menace;Star Wars: Episodio I - La amenaza fantasma (Spain);Star Wars: Episodio I - La amenaza fantasma (Argentina)
54;movie;7286456;Joker;Joker (Spain);Guasón (Chile)
54;show;0455275;Prison Break;Prison Break (Spain);Prison Break (Argentina)
54;show;0903747;Breaking Bad;Breaking Bad (Spain);ND
54;show;2193021;Arrow;Arrow (Spain);ND
55;movie;0209144;Memento;Memento (Spain);Memento: Recuerdos de un crimen (Chile)
55;movie;1375666;Inception;Origen (Spain);El origen (Chile)
55;movie;0499549;Avatar;Avatar (Spain);Avatar (Argentina)
56;movie;0105323;Scent of a Woman;Esencia de mujer (Spain);Perfume de mujer (Argentina)
56;movie;0414387;Pride & Prejudice;Pride & Prejudice (Orgullo y prejuicio) (Spain);Orgullo y prejuicio (Argentina)
56;movie;0102926;The Silence of the Lambs;El silenci dels anyells (Spain) (Catalan title);El silencio de los inocentes (Chile)
56;show;2802850;Fargo;Fargo (Spain);ND
56;show;6763664;The Haunting of Hill House;La maldición de Hill House (Spain);ND
56;show;0112159;Neon Genesis Evangelion;Neo genesis evangelión (Spain) (alternative title);Neon Genesis Evangelion (Chile)
57;movie;1670345;Now You See Me;Ahora me ves... (Spain);Los ilusionistas: Nada es lo que parece (Chile)
57;movie;4154756;Avengers: Infinity War;Vengadores: La guerra del infinito - 1ª parte (Spain) (alternative title);Avengers: Infinity War (Chile)
57;movie;7286456;Joker;Joker (Spain);Guasón (Chile)
57;show;6468322;Money Heist;La Casa de Papel: Parte 3 (Spain) (third season title);ND
57;show;9184994;How to Sell Drugs Online (Fast);Cómo vender drogas online (a toda pastilla) (Spain);ND
57;show;4574334;Stranger Things;Stranger Things (Spain);Stranger Things (Argentina)
58;movie;0264464;Catch Me If You Can;Atrápame si puedes (Spain);Atrápame si puedes (Argentina)
